position,first_name,last_name,salary,date
PG,Chris,Paul,9600,2015-04-11
PG,Stephen,Curry,9500,2015-04-11
PF,LaMarcus,Aldridge,8800,2015-04-11
PF,Blake,Griffin,8700,2015-04-11
PF,Pau,Gasol,8300,2015-04-11
SG,DeMar,DeRozan,8100,2015-04-11
C,DeAndre,Jordan,8000,2015-04-11
PG,Damian,Lillard,7900,2015-04-11
C,Rudy,Gobert,7900,2015-04-11
SG,Jimmy,Butler,7800,2015-04-11
C,Nikola,Vucevic,7700,2015-04-11
PF,Nerlens,Noel,7700,2015-04-11
PF,Derrick,Favors,7600,2015-04-11
PG,Ricky,Rubio,7600,2015-04-11
SF,Gordon,Hayward,7500,2015-04-11
PG,Elfrid,Payton,7500,2015-04-11
PF,Draymond,Green,7300,2015-04-11
SG,Dwyane,Wade,7200,2015-04-11
PG,Kyle,Lowry,7200,2015-04-11
SG,Victor,Oladipo,7200,2015-04-11
C,Marc,Gasol,7000,2015-04-11
SG,Klay,Thompson,7000,2015-04-11
C,Hassan,Whiteside,7000,2015-04-11
PG,Derrick,Rose,6900,2015-04-11
PG,Goran,Dragic,6800,2015-04-11
SF,Andrew,Wiggins,6800,2015-04-11
PF,Zach,Randolph,6600,2015-04-11
SF,Tobias,Harris,6600,2015-04-11
PG,Alexey,Shved,6500,2015-04-11
PG,Ish,Smith,6400,2015-04-11
SF,Nicolas,Batum,6400,2015-04-11
SG,J.J.,Redick,6300,2015-04-11
C,Gorgui,Dieng,6200,2015-04-11
PF,Nikola,Mirotic,6200,2015-04-11
SG,Kevin,Martin,6000,2015-04-11
C,Joakim,Noah,6000,2015-04-11
C,Jonas,Valanciunas,6000,2015-04-11
PG,Zach,LaVine,6000,2015-04-11
PF,Andrea,Bargnani,5900,2015-04-11
PG,Mike,Conley,5900,2015-04-11
PG,Aaron,Brooks,5600,2015-04-11
SF,Luol,Deng,5500,2015-04-11
SG,Lou,Williams,5500,2015-04-11
PG,Langston,Galloway,5500,2015-04-11
C,Andrew,Bogut,5300,2015-04-11
SF,Jeff,Green,5300,2015-04-11
PF,Robert,Covington,5300,2015-04-11
PG,Trey,Burke,5300,2015-04-11
SF,Tony,Allen,5000,2015-04-11
SF,Matt,Barnes,4900,2015-04-11
SF,Chase,Budinger,4900,2015-04-11
PF,Taj,Gibson,4900,2015-04-11
SF,Mike,Dunleavy,4800,2015-04-11
PG,Greivis,Vasquez,4800,2015-04-11
C,Justin,Hamilton,4800,2015-04-11
SF,Harrison,Barnes,4800,2015-04-11
SF,Rodney,Hood,4700,2015-04-11
SF,Andre,Iguodala,4600,2015-04-11
C,Robin,Lopez,4600,2015-04-11
SG,Jamal,Crawford,4500,2015-04-11
PF,Amir,Johnson,4500,2015-04-11
PG,Shane,Larkin,4500,2015-04-11
PF,Udonis,Haslem,4400,2015-04-11
PF,Trevor,Booker,4300,2015-04-11
SG,Arron,Afflalo,4200,2015-04-11
PF,Tyler,Hansbrough,4000,2015-04-11
PF,Patrick,Patterson,4000,2015-04-11
PG,C.J.,McCollum,4000,2015-04-11
PF,Adreian,Payne,4000,2015-04-11
PF,David,Lee,3900,2015-04-11
SG,Tim,Hardaway,3900,2015-04-11
PG,Isaiah,Canaan,3800,2015-04-11
C,Meyers,Leonard,3800,2015-04-11
SG,Ricky,Ledo,3800,2015-04-11
SF,James,Johnson,3600,2015-04-11
PG,Lorenzo,Brown,3600,2015-04-11
PF,Thomas,Robinson,3600,2015-04-11
PF,Kevin,Garnett,3500,2015-04-11
C,Chris,Kaman,3500,2015-04-11
PF,Louis,Amundson,3500,2015-04-11
SG,Gary,Neal,3500,2015-04-11
SF,Luc,Richard,3500,2015-04-11
PG,Mario,Chalmers,3500,2015-04-11
PF,Lance,Thomas,3500,2015-04-11
PG,Tim,Frazier,3500,2015-04-11
SF,Terrence,Ross,3500,2015-04-11
SF,Tony,Snell,3500,2015-04-11
SF,Joe,Ingles,3500,2015-04-11
C,Joel,Embiid,3500,2015-04-11
PF,Jason,Smith,3400,2015-04-11
SF,Michael,Beasley,3400,2015-04-11
SF,Maurice,Harkless,3400,2015-04-11
PF,Furkan,Aldemir,3400,2015-04-11
SF,Hollis,Thompson,3300,2015-04-11
SG,James,Ennis,3300,2015-04-11
SF,Cleanthony,Early,3300,2015-04-11
PG,Shaun,Livingston,3200,2015-04-11
SG,Courtney,Lee,3200,2015-04-11
PF,Marreese,Speights,3200,2015-04-11
C,Kosta,Koufos,3200,2015-04-11
PF,Quincy,Acy,3200,2015-04-11
SG,Evan,Fournier,3200,2015-04-11
SF,Jerami,Grant,3200,2015-04-11
PF,Aaron,Gordon,3200,2015-04-11
PG,Dante,Exum,3200,2015-04-11
SG,Vince,Carter,3100,2015-04-11
SG,Jason,Richardson,3100,2015-04-11
C,Henry,Sims,3100,2015-04-11
PG,Austin,Rivers,3100,2015-04-11
C,Dewayne,Dedmon,3100,2015-04-11
C,Nazr,Mohammed,3000,2015-04-11
SF,Hedo,Turkoglu,3000,2015-04-11
SG,Dahntay,Jones,3000,2015-04-11
PG,Kirk,Hinrich,3000,2015-04-11
PG,Steve,Blake,3000,2015-04-11
SG,Willie,Green,3000,2015-04-11
PG,Luke,Ridnour,3000,2015-04-11
PF,Chuck,Hayes,3000,2015-04-11
PF,Channing,Frye,3000,2015-04-11
SG,Ben,Gordon,3000,2015-04-11
C,Chris,Andersen,3000,2015-04-11
PG,Leandro,Barbosa,3000,2015-04-11
SF,Dorell,Wright,3000,2015-04-11
PG,Beno,Udrih,3000,2015-04-11
C,Greg,Stiemsma,3000,2015-04-11
PF,Glen,Davis,3000,2015-04-11
SF,Alonzo,Gee,3000,2015-04-11
PF,Arinze,Onuaku,3000,2015-04-11
SG,Brandon,Rush,3000,2015-04-11
C,Joel,Freeland,3000,2015-04-11
C,Spencer,Hawes,3000,2015-04-11
SG,Landry,Fields,3000,2015-04-11
C,Ekpe,Udoh,3000,2015-04-11
SG,Elijah,Millsap,3000,2015-04-11
SF,Jeremy,Evans,3000,2015-04-11
SG,Henry,Walker,3000,2015-04-11
SG,Justin,Holiday,3000,2015-04-11
PF,Jon,Leuer,3000,2015-04-11
SF,Robbie,Hummel,3000,2015-04-11
SG,ETwaun,Moore,3000,2015-04-11
C,Cole,Aldrich,3000,2015-04-11
PG,Nick,Calathes,3000,2015-04-11
PG,Lester,Hudson,3000,2015-04-11
C,Festus,Ezeli,3000,2015-04-11
PF,JaMychal,Green,3000,2015-04-11
SF,Chris,Johnson,3000,2015-04-11
PF,Andrew,Nicholson,3000,2015-04-11
C,Kyle,OQuinn,3000,2015-04-11
PF,Travis,Wear,3000,2015-04-11
SG,C.J.,Wilcox,3000,2015-04-11
PF,Jack,Cooley,3000,2015-04-11
SF,Jordan,Hamilton,3000,2015-04-11
SG,Allen,Crabbe,3000,2015-04-11
PF,Cameron,Bairstow,3000,2015-04-11
PG,Shabazz,Napier,3000,2015-04-11
PG,Russ,Smith,3000,2015-04-11
SF,Doug,McDermott,3000,2015-04-11
SG,Zoran,Dragic,3000,2015-04-11
SG,Tyler,Johnson,3000,2015-04-11
PG,Bryce,Cotton,3000,2015-04-11
PF,James,Michael,3000,2015-04-11
PF,Jakarr,Sampson,3000,2015-04-11
PF,Jarnell,Stokes,3000,2015-04-11
C,Lucas,Nogueira,3000,2015-04-11
C,Ognjen,Kuzmic,3000,2015-04-11
PF,Grant,Jerrett,3000,2015-04-11
SG,Jordan,Adams,3000,2015-04-11
SF,Glenn,Robinson,3000,2015-04-11
PF,Anthony,Bennett,3000,2015-04-11
SF,Bruno,Caboclo,3000,2015-04-11
